Scenario,Segment,Model,n,failures,TP,FP,FN,Precision,Recall,F1,FPR
Sudden Drift,A: pre-drift,Static,1000,17,3,22,14,0.12,0.17647058823529413,0.14285714285714282,0.022380467955239063
Sudden Drift,"B: drift, not yet adapted",Static,384,7,4,28,3,0.125,0.5714285714285714,0.20512820512820512,0.07427055702917772
Sudden Drift,C: post-adaptation,Static,616,15,11,64,4,0.14666666666666667,0.7333333333333333,0.24444444444444444,0.1064891846921797
Sudden Drift,A: pre-drift,Evolving,1000,17,3,22,14,0.12,0.17647058823529413,0.14285714285714282,0.022380467955239063
Sudden Drift,"B: drift, not yet adapted",Evolving,384,7,4,28,3,0.125,0.5714285714285714,0.20512820512820512,0.07427055702917772
Sudden Drift,C: post-adaptation,Evolving,616,15,8,6,7,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.009983361064891847
Gradual Drift,A: pre-drift,Static,800,15,2,19,13,0.09523809523809523,0.13333333333333333,0.1111111111111111,0.024203821656050957
Gradual Drift,"B: drift, not yet adapted",Static,648,10,6,39,4,0.13333333333333333,0.6,0.2181818181818182,0.061128526645768025
Gradual Drift,C: post-adaptation,Static,552,14,10,55,4,0.15384615384615385,0.7142857142857143,0.25316455696202533,0.10223048327137546
Gradual Drift,A: pre-drift,Evolving,800,15,2,19,13,0.09523809523809523,0.13333333333333333,0.1111111111111111,0.024203821656050957
Gradual Drift,"B: drift, not yet adapted",Evolving,648,10,6,39,4,0.13333333333333333,0.6,0.2181818181818182,0.061128526645768025
Gradual Drift,C: post-adaptation,Evolving,552,14,6,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.0055762081784386614
