missing_rate,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.05,Control,0,Static,12,28,27,0.3,0.3076923076923077,0.3037974683544304,0.014278429372768995,0,0,
0.05,Control,0,Evolving,12,28,27,0.3,0.3076923076923077,0.3037974683544304,0.014278429372768995,0,0,
0.05,Control,1,Static,12,32,27,0.2727272727272727,0.3076923076923077,0.2891566265060241,0.01631820499745028,0,0,
0.05,Control,1,Evolving,12,32,27,0.2727272727272727,0.3076923076923077,0.2891566265060241,0.01631820499745028,0,0,
0.05,Control,2,Static,13,30,26,0.3023255813953488,0.3333333333333333,0.31707317073170727,0.015298317185109638,0,0,
0.05,Control,2,Evolving,13,30,26,0.3023255813953488,0.3333333333333333,0.31707317073170727,0.015298317185109638,0,0,
0.05,Control,3,Static,10,29,29,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.014788373278939317,0,0,
0.05,Control,3,Evolving,10,29,29,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.014788373278939317,0,0,
0.05,Control,4,Static,11,33,28,0.25,0.28205128205128205,0.26506024096385544,0.016828148903620603,0,0,
0.05,Control,4,Evolving,11,33,28,0.25,0.28205128205128205,0.26506024096385544,0.016828148903620603,0,0,
0.05,Sudden Drift,0,Static,16,105,23,0.1322314049586777,0.41025641025641024,0.19999999999999998,0.05354411014788373,1,0,1183.0
0.05,Sudden Drift,0,Evolving,14,50,25,0.21875,0.358974358974359,0.27184466019417475,0.025497195308516064,1,0,1183.0
0.05,Sudden Drift,1,Static,16,106,23,0.13114754098360656,0.41025641025641024,0.19875776397515527,0.05405405405405406,1,0,1183.0
0.05,Sudden Drift,1,Evolving,14,52,25,0.21212121212121213,0.358974358974359,0.26666666666666666,0.026517083120856707,1,0,1183.0
0.05,Sudden Drift,2,Static,18,108,21,0.14285714285714285,0.46153846153846156,0.21818181818181817,0.05507394186639469,1,0,1183.0
0.05,Sudden Drift,2,Evolving,14,50,25,0.21875,0.358974358974359,0.27184466019417475,0.025497195308516064,1,0,1183.0
0.05,Sudden Drift,3,Static,18,106,21,0.14516129032258066,0.46153846153846156,0.2208588957055215,0.05405405405405406,1,0,1183.0
0.05,Sudden Drift,3,Evolving,13,51,26,0.203125,0.3333333333333333,0.2524271844660194,0.026007139214686385,1,0,1183.0
0.05,Sudden Drift,4,Static,18,110,21,0.140625,0.46153846153846156,0.2155688622754491,0.05609382967873534,1,0,1183.0
0.05,Sudden Drift,4,Evolving,13,55,26,0.19117647058823528,0.3333333333333333,0.2429906542056075,0.02804691483936767,1,0,1183.0
0.05,Gradual Drift,0,Static,16,104,23,0.13333333333333333,0.41025641025641024,0.20125786163522014,0.053034166241713414,1,0,1247.0
0.05,Gradual Drift,0,Evolving,13,54,26,0.19402985074626866,0.3333333333333333,0.2452830188679245,0.027536970933197347,1,0,1247.0
0.05,Gradual Drift,1,Static,16,106,23,0.13114754098360656,0.41025641025641024,0.19875776397515527,0.05405405405405406,1,0,1247.0
0.05,Gradual Drift,1,Evolving,14,60,25,0.1891891891891892,0.358974358974359,0.24778761061946902,0.030596634370219276,1,0,1247.0
0.05,Gradual Drift,2,Static,18,107,21,0.144,0.46153846153846156,0.2195121951219512,0.054563997960224375,1,0,1247.0
