missing_rate,Scenario,Model,F1,F1_sd,FPR,FPR_sd,Recall,n_det,false_alarms,first_det
0.05,Control,Evolving,0.2863,0.0255,0.0155,0.0011,0.2974,0.0,0.0,
0.05,Control,Static,0.2863,0.0255,0.0155,0.0011,0.2974,0.0,0.0,
0.05,Gradual Drift,Evolving,0.2442,0.0051,0.03,0.0019,0.3487,1.0,0.0,1259.8
0.05,Gradual Drift,Static,0.212,0.0111,0.0541,0.0008,0.441,1.0,0.0,1259.8
0.05,Sudden Drift,Evolving,0.2612,0.0129,0.0263,0.0011,0.3487,1.0,0.0,1183.0
0.05,Sudden Drift,Static,0.2107,0.0105,0.0546,0.001,0.441,1.0,0.0,1183.0
0.1,Control,Evolving,0.2741,0.0286,0.0142,0.0018,0.2718,0.0,0.0,
0.1,Control,Static,0.2741,0.0286,0.0142,0.0018,0.2718,0.0,0.0,
0.1,Gradual Drift,Evolving,0.2412,0.0147,0.0285,0.0021,0.3333,1.0,0.0,1272.6
0.1,Gradual Drift,Static,0.2151,0.0103,0.0512,0.0015,0.4308,1.0,0.0,1272.6
0.1,Sudden Drift,Evolving,0.2542,0.0236,0.0243,0.0019,0.3231,1.0,0.0,1183.0
0.1,Sudden Drift,Static,0.2142,0.0085,0.0515,0.0008,0.4308,1.0,0.0,1183.0
0.2,Control,Evolving,0.2711,0.0346,0.0114,0.0022,0.2462,0.0,0.0,
0.2,Control,Static,0.2711,0.0346,0.0114,0.0022,0.2462,0.0,0.0,
0.2,Gradual Drift,Evolving,0.2397,0.0515,0.0253,0.0041,0.3077,1.0,0.0,1272.6
0.2,Gradual Drift,Static,0.2204,0.0116,0.0468,0.0031,0.4154,1.0,0.0,1272.6
0.2,Sudden Drift,Evolving,0.2591,0.0276,0.0219,0.0027,0.3128,1.0,0.0,1176.6
0.2,Sudden Drift,Static,0.2186,0.0093,0.0474,0.0028,0.4154,1.0,0.0,1176.6
