noise_frac,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.05,Control,0,Static,13,33,26,0.2826086956521739,0.3333333333333333,0.30588235294117644,0.016828148903620603,0,0,
0.05,Control,0,Evolving,13,33,26,0.2826086956521739,0.3333333333333333,0.30588235294117644,0.016828148903620603,0,0,
0.05,Control,1,Static,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.05,Control,1,Evolving,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.05,Control,2,Static,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.05,Control,2,Evolving,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.05,Control,3,Static,13,36,26,0.2653061224489796,0.3333333333333333,0.29545454545454547,0.018357980622131564,0,0,
0.05,Control,3,Evolving,13,36,26,0.2653061224489796,0.3333333333333333,0.29545454545454547,0.018357980622131564,0,0,
0.05,Control,4,Static,13,37,26,0.26,0.3333333333333333,0.2921348314606742,0.018867924528301886,0,0,
0.05,Control,4,Evolving,13,37,26,0.26,0.3333333333333333,0.2921348314606742,0.018867924528301886,0,0,
0.05,Sudden Drift,0,Static,18,115,21,0.13533834586466165,0.46153846153846156,0.20930232558139533,0.05864354920958695,1,0,1183.0
0.05,Sudden Drift,0,Evolving,14,56,25,0.2,0.358974358974359,0.25688073394495414,0.02855685874553799,1,0,1183.0
0.05,Sudden Drift,1,Static,19,110,20,0.14728682170542637,0.48717948717948717,0.2261904761904762,0.05609382967873534,1,0,1183.0
0.05,Sudden Drift,1,Evolving,16,52,23,0.23529411764705882,0.41025641025641024,0.29906542056074764,0.026517083120856707,1,0,1183.0
0.05,Sudden Drift,2,Static,19,114,20,0.14285714285714285,0.48717948717948717,0.2209302325581395,0.05813360530341662,1,0,1183.0
0.05,Sudden Drift,2,Evolving,14,54,25,0.20588235294117646,0.358974358974359,0.26168224299065423,0.027536970933197347,1,0,1183.0
0.05,Sudden Drift,3,Static,19,114,20,0.14285714285714285,0.48717948717948717,0.2209302325581395,0.05813360530341662,1,0,1183.0
0.05,Sudden Drift,3,Evolving,16,58,23,0.21621621621621623,0.41025641025641024,0.2831858407079646,0.029576746557878633,1,0,1183.0
0.05,Sudden Drift,4,Static,18,115,21,0.13533834586466165,0.46153846153846156,0.20930232558139533,0.05864354920958695,1,0,1183.0
0.05,Sudden Drift,4,Evolving,15,56,24,0.2112676056338028,0.38461538461538464,0.27272727272727276,0.02855685874553799,1,0,1183.0
0.05,Gradual Drift,0,Static,18,113,21,0.13740458015267176,0.46153846153846156,0.21176470588235297,0.057623661397246305,1,0,1247.0
0.05,Gradual Drift,0,Evolving,13,62,26,0.17333333333333334,0.3333333333333333,0.2280701754385965,0.03161652218255992,1,0,1247.0
0.05,Gradual Drift,1,Static,19,110,20,0.14728682170542637,0.48717948717948717,0.2261904761904762,0.05609382967873534,1,0,1247.0
0.05,Gradual Drift,1,Evolving,16,58,23,0.21621621621621623,0.41025641025641024,0.2831858407079646,0.029576746557878633,1,0,1247.0
0.05,Gradual Drift,2,Static,19,112,20,0.1450381679389313,0.48717948717948717,0.2235294117647059,0.05711371749107598,1,0,1279.0
0.05,Gradual Drift,2,Evolving,14,60,25,0.1891891891891892,0.358974358974359,0.24778761061946902,0.030596634370219276,1,0,1279.0
0.05,Gradual Drift,3,Static,19,113,20,0.14393939393939395,0.48717948717948717,0.2222222222222222,0.057623661397246305,1,0,1247.0
0.05,Gradual Drift,3,Evolving,15,64,24,0.189873417721519,0.38461538461538464,0.2542372881355932,0.03263640999490056,1,0,1247.0
0.05,Gradual Drift,4,Static,18,113,21,0.13740458015267176,0.46153846153846156,0.21176470588235297,0.057623661397246305,1,0,1247.0
0.05,Gradual Drift,4,Evolving,14,62,25,0.18421052631578946,0.358974358974359,0.24347826086956523,0.03161652218255992,1,0,1247.0
0.1,Control,0,Static,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.1,Control,0,Evolving,13,32,26,0.28888888888888886,0.3333333333333333,0.3095238095238095,0.01631820499745028,0,0,
0.1,Control,1,Static,14,33,25,0.2978723404255319,0.358974358974359,0.3255813953488372,0.016828148903620603,0,0,
0.1,Control,1,Evolving,14,33,25,0.2978723404255319,0.358974358974359,0.3255813953488372,0.016828148903620603,0,0,
0.1,Control,2,Static,11,33,28,0.25,0.28205128205128205,0.26506024096385544,0.016828148903620603,0,0,
0.1,Control,2,Evolving,11,33,28,0.25,0.28205128205128205,0.26506024096385544,0.016828148903620603,0,0,
0.1,Control,3,Static,13,38,26,0.2549019607843137,0.3333333333333333,0.2888888888888889,0.019377868434472208,0,0,
0.1,Control,3,Evolving,13,38,26,0.2549019607843137,0.3333333333333333,0.2888888888888889,0.019377868434472208,0,0,
0.1,Control,4,Static,14,34,25,0.2916666666666667,0.358974358974359,0.3218390804597701,0.017338092809790925,0,0,
0.1,Control,4,Evolving,14,34,25,0.2916666666666667,0.358974358974359,0.3218390804597701,0.017338092809790925,0,0,
0.1,Sudden Drift,0,Static,19,112,20,0.1450381679389313,0.48717948717948717,0.2235294117647059,0.05711371749107598,1,0,1183.0
0.1,Sudden Drift,0,Evolving,13,53,26,0.19696969696969696,0.3333333333333333,0.2476190476190476,0.02702702702702703,1,0,1183.0
0.1,Sudden Drift,1,Static,19,111,20,0.14615384615384616,0.48717948717948717,0.22485207100591717,0.05660377358490566,1,0,1183.0
0.1,Sudden Drift,1,Evolving,16,52,23,0.23529411764705882,0.41025641025641024,0.29906542056074764,0.026517083120856707,1,0,1183.0
0.1,Sudden Drift,2,Static,19,117,20,0.13970588235294118,0.48717948717948717,0.21714285714285714,0.05966343702192759,1,0,1183.0
0.1,Sudden Drift,2,Evolving,13,53,26,0.19696969696969696,0.3333333333333333,0.2476190476190476,0.02702702702702703,1,0,1183.0
0.1,Sudden Drift,3,Static,19,117,20,0.13970588235294118,0.48717948717948717,0.21714285714285714,0.05966343702192759,1,0,1183.0
0.1,Sudden Drift,3,Evolving,14,61,25,0.18666666666666668,0.358974358974359,0.24561403508771928,0.031106578276389598,1,0,1183.0
0.1,Sudden Drift,4,Static,19,114,20,0.14285714285714285,0.48717948717948717,0.2209302325581395,0.05813360530341662,1,0,1183.0
0.1,Sudden Drift,4,Evolving,16,55,23,0.22535211267605634,0.41025641025641024,0.2909090909090909,0.02804691483936767,1,0,1183.0
0.1,Gradual Drift,0,Static,19,113,20,0.14393939393939395,0.48717948717948717,0.2222222222222222,0.057623661397246305,1,0,1279.0
0.1,Gradual Drift,0,Evolving,14,63,25,0.18181818181818182,0.358974358974359,0.24137931034482757,0.03212646608873024,1,0,1279.0
0.1,Gradual Drift,1,Static,20,112,19,0.15151515151515152,0.5128205128205128,0.23391812865497078,0.05711371749107598,1,0,1247.0
0.1,Gradual Drift,1,Evolving,15,58,24,0.2054794520547945,0.38461538461538464,0.26785714285714285,0.029576746557878633,1,0,1247.0
0.1,Gradual Drift,2,Static,19,115,20,0.1417910447761194,0.48717948717948717,0.21965317919075145,0.05864354920958695,1,0,1311.0
0.1,Gradual Drift,2,Evolving,14,66,25,0.175,0.358974358974359,0.23529411764705882,0.033656297807241206,1,0,1311.0
0.1,Gradual Drift,3,Static,19,115,20,0.1417910447761194,0.48717948717948717,0.21965317919075145,0.05864354920958695,1,0,1279.0
0.1,Gradual Drift,3,Evolving,15,67,24,0.18292682926829268,0.38461538461538464,0.24793388429752064,0.034166241713411524,1,0,1279.0
0.1,Gradual Drift,4,Static,19,113,20,0.14393939393939395,0.48717948717948717,0.2222222222222222,0.057623661397246305,1,0,1247.0
0.1,Gradual Drift,4,Evolving,13,62,26,0.17333333333333334,0.3333333333333333,0.2280701754385965,0.03161652218255992,1,0,1247.0
0.2,Control,0,Static,11,38,28,0.22448979591836735,0.28205128205128205,0.25,0.019377868434472208,0,0,
0.2,Control,0,Evolving,11,38,28,0.22448979591836735,0.28205128205128205,0.25,0.019377868434472208,0,0,
0.2,Control,1,Static,13,35,26,0.2708333333333333,0.3333333333333333,0.29885057471264365,0.017848036715961243,0,0,
0.2,Control,1,Evolving,13,35,26,0.2708333333333333,0.3333333333333333,0.29885057471264365,0.017848036715961243,0,0,
0.2,Control,2,Static,12,32,27,0.2727272727272727,0.3076923076923077,0.2891566265060241,0.01631820499745028,0,0,
0.2,Control,2,Evolving,12,32,27,0.2727272727272727,0.3076923076923077,0.2891566265060241,0.01631820499745028,0,0,
0.2,Control,3,Static,12,45,27,0.21052631578947367,0.3076923076923077,0.25,0.022947475777664456,0,0,
0.2,Control,3,Evolving,12,45,27,0.21052631578947367,0.3076923076923077,0.25,0.022947475777664456,0,0,
0.2,Control,4,Static,13,35,26,0.2708333333333333,0.3333333333333333,0.29885057471264365,0.017848036715961243,0,0,
0.2,Control,4,Evolving,13,35,26,0.2708333333333333,0.3333333333333333,0.29885057471264365,0.017848036715961243,0,0,
0.2,Sudden Drift,0,Static,19,107,20,0.15079365079365079,0.48717948717948717,0.23030303030303031,0.054563997960224375,1,0,1183.0
0.2,Sudden Drift,0,Evolving,12,54,27,0.18181818181818182,0.3076923076923077,0.2285714285714286,0.027536970933197347,1,0,1183.0
0.2,Sudden Drift,1,Static,20,106,19,0.15873015873015872,0.5128205128205128,0.2424242424242424,0.05405405405405406,1,0,1183.0
0.2,Sudden Drift,1,Evolving,15,56,24,0.2112676056338028,0.38461538461538464,0.27272727272727276,0.02855685874553799,1,0,1183.0
0.2,Sudden Drift,2,Static,19,110,20,0.14728682170542637,0.48717948717948717,0.2261904761904762,0.05609382967873534,1,0,1183.0
0.2,Sudden Drift,2,Evolving,13,50,26,0.20634920634920634,0.3333333333333333,0.2549019607843137,0.025497195308516064,1,0,1183.0
