noise_frac,Scenario,Model,F1,F1_sd,FPR,FPR_sd,Recall,n_det,false_alarms,first_det
0.05,Control,Evolving,0.3025,0.0082,0.0173,0.0012,0.3333,0.0,0.0,
0.05,Control,Static,0.3025,0.0082,0.0173,0.0012,0.3333,0.0,0.0,
0.05,Gradual Drift,Evolving,0.2514,0.0202,0.0312,0.0012,0.3692,1.0,0.0,1253.4
0.05,Gradual Drift,Static,0.2191,0.0068,0.0572,0.0007,0.4769,1.0,0.0,1253.4
0.05,Sudden Drift,Evolving,0.2747,0.017,0.0281,0.0012,0.3846,1.0,0.0,1183.0
0.05,Sudden Drift,Static,0.2173,0.0076,0.0579,0.0011,0.4769,1.0,0.0,1183.0
0.1,Control,Evolving,0.3022,0.0252,0.0173,0.0012,0.3333,0.0,0.0,
0.1,Control,Static,0.3022,0.0252,0.0173,0.0012,0.3333,0.0,0.0,
0.1,Gradual Drift,Evolving,0.2441,0.0152,0.0322,0.0018,0.3641,1.0,0.0,1272.6
0.1,Gradual Drift,Static,0.2235,0.0059,0.0579,0.0007,0.4923,1.0,0.0,1272.6
0.1,Sudden Drift,Evolving,0.2662,0.0265,0.0279,0.0019,0.3692,1.0,0.0,1183.0
0.1,Sudden Drift,Static,0.2207,0.0036,0.0582,0.0014,0.4872,1.0,0.0,1183.0
0.2,Control,Evolving,0.2774,0.0253,0.0189,0.0025,0.3128,0.0,0.0,
0.2,Control,Static,0.2774,0.0253,0.0189,0.0025,0.3128,0.0,0.0,
0.2,Gradual Drift,Evolving,0.2356,0.0132,0.0327,0.0029,0.3538,1.0,0.0,1285.4
0.2,Gradual Drift,Static,0.2279,0.0126,0.0563,0.0027,0.4923,1.0,0.0,1285.4
0.2,Sudden Drift,Evolving,0.2567,0.0231,0.0279,0.0026,0.3538,1.0,0.0,1183.0
0.2,Sudden Drift,Static,0.2272,0.0103,0.0566,0.0027,0.4923,1.0,0.0,1183.0
0.3,Control,Evolving,0.2416,0.0113,0.0195,0.0018,0.2718,0.0,0.0,
0.3,Control,Static,0.2416,0.0113,0.0195,0.0018,0.2718,0.0,0.0,
0.3,Gradual Drift,Evolving,0.2221,0.0155,0.0332,0.0023,0.3333,1.0,0.0,1311.0
0.3,Gradual Drift,Static,0.2266,0.0184,0.0552,0.0025,0.4821,1.0,0.0,1311.0
0.3,Sudden Drift,Evolving,0.2313,0.0154,0.0293,0.002,0.3231,1.0,0.0,1195.8
0.3,Sudden Drift,Static,0.2227,0.0193,0.0559,0.0026,0.4769,1.0,0.0,1195.8
